samids	met1	met2	met3	met4	met5	met6	met7	met8	met9	met10	met11	met12	met13	met14	met15	met16	met17	met18	met19	met20	met21	met22	met23	met24	met25	met26	met27	met28	met29	met30	met31	met32	met33	met34	met35	met36	met37	met38	met39	met40	met41	met42	met43	met44	met45	met46	met47	met48	met49	met50	met51	met52	met53	met54	met55	met56	met57	met58	met59	met60	met61	met62	met63	met64	met65	met66	met67	met68	met69	met70	met71	met72	met73	met74	met75	met76	met77	met78	met79	met80	met81	met82	met83	met84	met85	met86	met87	met88	met89	met90	met91	met92	met93	met94	met95	met96	met97	met98	met99	met100
ind1	11.03146373	10.79932257	11.46914219	10.44885525	9.236774238	11.95177423	9.337126429	8.040777001	9.588277062	9.52425942	9.885147377	9.881862084	10.19103808	9.487391041	8.040197453	13.33663506	5.9143856	12.03650895	9.780150606	11.11113025	8.965270898	9.035094104	9.292594547	8.741008622	6.945565668	11.19712935	10.17120214	9.139563291	10.77385522	10.81943443	9.687461451	8.597867785	7.487773119	9.856743688	8.466689883	9.144920982	7.922764504	10.30418107	5.383256864	9.806598825	9.510247392	6.785126046	6.789587905	9.247905129	10.84040471	9.579919368	12.56977372	10.93433325	5.814178701	11.33618172	10.76236277	22.7845433	19.05437666	13.78843415	15.54228229	11.24303121	9.958584063	11.21102563	13.61123403	16.97932331	14.36121996	24.24192608	13.0242701	16.06164157	12.4230479	7.824871643	20.89055656	17.61102485	18.38336583	17.47550273	24.7215305	19.54473161	16.4996074	9.559012079	13.24123712	13.15230554	10.9013083	17.84539066	12.86283318	13.15191593	14.55127686	18.85507818	6.997224274	16.47731253	22.06491338	10.22772272	12.13065186	11.15170123	15.68308366	14.65570452	12.79136746	12.07801425	20.80764988	19.46610464	19.80332393	14.15877363	16.71127139	10.57445953	15.71087146	16.30274092
ind2	12.49543615	13.73833298	12.32220128	7.752219366	11.16676029	13.07084229	9.007519832	9.077767672	8.39301137	9.421736492	14.78665907	10.14579557	13.01460522	10.14980108	9.257677577	10.30643557	10.93345039	14.06089964	9.680515331	8.069573005	11.85969144	11.22553256	7.508694242	8.379551427	9.896579714	7.899086157	9.218873129	7.657900928	7.483370458	15.45350807	11.63825071	8.905889394	9.253420028	10.57012001	12.22919499	9.547568059	12.02430146	8.272076809	12.16813447	10.21371616	8.68466206	8.469561669	8.555275321	9.346100545	15.1581604	10.279546	8.461311554	12.51278137	7.88170803	11.49541066	14.38944292	14.5048903	17.97352426	17.10725757	11.48013683	17.74747112	10.94640919	18.49190635	10.64406682	18.21208189	16.78915992	10.61599956	16.21229699	12.11758687	13.61707652	11.33046558	8.322616359	14.86682951	17.34203103	15.62721969	8.957051846	15.36711375	11.67890689	17.44203262	13.56786555	12.45770062	16.37549476	17.7768849	20.37706043	17.70629938	15.01773196	17.37894992	12.52435681	9.62981658	17.6461961	14.08087926	12.44536198	24.66536083	18.05455174	8.323373123	14.49098297	14.57175649	16.43237483	21.58828583	10.86123416	14.82473892	15.01055967	15.63796424	14.49932986	15.29669105
ind3	NA	14.3858282	NA	10.64935683	7.933557461	13.90524561	9.474358969	13.73731777	11.56851383	8.497737751	8.040409758	12.20609743	9.09272569	10.18880518	9.251138675	14.62045389	4.466580929	8.510062363	9.523765419	11.14031117	8.794810135	12.35882949	7.309784253	5.527691474	10.42560662	10.29674091	6.763778573	6.290684479	9.345793862	12.55648702	7.517720851	7.791103549	8.092451432	9.178486484	10.35083467	5.028896812	15.87436585	8.840850464	6.94588838	8.34408673	11.91976515	11.41976521	7.364339268	10.00658948	9.407171029	7.738338871	8.312711326	6.414888766	8.697635438	8.985803569	8.8476069	9.801389065	9.856863631	11.54295203	11.03985388	7.144817443	7.491227949	9.7738895	10.11874967	8.71649887	12.22934081	9.903358436	9.757567189	13.5283659	11.57901339	10.0689319	7.033315339	12.35326875	8.769404119	7.968233061	10.03277478	11.01046699	8.014356821	9.776844308	10.47843432	7.480955469	6.314366288	11.89134268	10.86061206	9.904305929	10.47169168	10.36423504	8.016851492	8.162461674	8.76587387	7.824500201	11.8136044	10.07557126	11.78500086	4.923532391	8.105514667	10.70632768	7.659320813	6.570596332	11.47212136	14.21984572	8.215986528	12.79093852	8.377499627	9.222098944
ind4	6.976256389	10.85471004	12.28743055	7.776785639	10.04002391	9.882807185	8.274024672	12.03123976	7.860420614	8.373607546	8.89235054	8.435442703	10.93248414	11.60232261	8.656159029	12.50187785	9.739884913	14.82079706	8.886693581	10.47633969	10.77203702	12.75846625	9.37500699	6.912946283	8.591791427	12.52937685	9.149852245	10.40384927	7.038766777	11.49986014	7.238641679	5.306399331	3.043604577	10.47980185	11.93080135	9.52775127	9.967081771	9.169322905	11.1190425	10.77910213	11.42447864	10.79219982	10.67382833	10.18354456	8.460720138	10.78666154	12.37687357	9.14638912	7.692231836	11.22015087	10.69455318	8.821730938	9.242548948	9.595427975	11.71003227	8.993961394	11.18115651	6.767266677	11.20411955	10.9690118	7.827334852	14.97438091	11.40719952	8.989694201	12.76439145	8.391764828	10.30954227	12.68963455	11.18146877	10.66509333	14.45524282	12.33799766	9.570792123	9.878836728	11.69121995	9.332937317	10.38058089	7.606746351	7.382941943	8.75230238	9.286266471	8.534438265	5.890819091	9.905562381	10.74571988	9.817853955	13.09011014	7.676387181	12.16741167	10.45063038	9.454353994	11.40264008	4.922971229	9.072344069	13.28669085	6.647554527	10.41003211	12.05526237	10.53920431	12.07007498
ind5	8.559816344	12.42401961	8.768468474	12.60474126	8.134009023	9.026278446	10.74284494	10.05420829	11.30500819	5.118562283	13.62482294	7.827943957	11.50104842	9.925259148	9.766902452	10.45152152	5.036108638	10.37764643	11.01265146	13.44853672	9.643522803	10.97062401	9.443203159	11.04802926	8.50994452	9.157690638	9.100262596	10.08972525	11.08488819	10.83673823	8.414442069	8.469210742	9.108522024	8.455052019	8.420091245	9.527369152	9.200768097	11.29351951	7.71217176	10.15124642	13.98126225	8.913159212	9.094765146	9.601801696	12.68594275	8.867217119	6.805772376	9.838042076	9.310000326	11.19882896	9.641367153	11.42574588	9.245436708	13.35776499	8.255218978	11.95832348	11.60048317	14.73744246	10.7709616	11.07054918	13.21751205	9.199722862	14.00673436	10.76506341	9.72642883	8.959891274	9.472014931	7.110175994	11.957445	10.30836409	7.762320811	11.53168456	6.426560162	9.39343652	10.95715986	11.18225909	11.53707574	8.116390079	9.573646074	12.28055132	14.38468418	14.24435997	13.70345217	12.00071781	13.26471015	11.95840191	11.55469194	13.99309621	8.885960581	12.11415522	11.60735626	10.32510374	9.77586906	11.75981821	9.67334104	12.40311622	9.128093164	9.742820388	13.21236078	12.32594817
ind6	10.3979624	9.887130664	11.7080233	10.06235645	6.469748854	11.82618423	11.47267783	8.541614996	8.826445588	8.632673526	9.934458509	9.223227453	10.92547291	9.89998392	9.325765422	12.00416457	10.45084166	11.53059586	10.00846776	10.08236346	9.661234125	8.990146194	8.058924654	8.533810367	11.69155715	11.13272352	11.67643978	7.939956948	8.980374413	11.24253507	10.18502399	10.67669462	10.20594307	12.20003284	10.64667106	10.67188484	12.29870819	7.031013949	9.853259976	8.945094509	10.23352904	10.86167635	7.243455345	11.28170751	9.263789427	12.03599721	5.777582271	11.31318837	7.899754722	7.76442692	14.33873662	8.816633404	9.730582713	10.23295354	10.94046119	6.92410838	7.985949119	6.821077379	8.317061465	10.2208764	9.847433231	7.711228335	9.833002505	13.81213725	9.527950374	12.4544101	6.011509663	9.539715248	7.000721954	12.02481322	7.717583334	8.341122562	11.71684608	10.29639844	8.01548326	10.90085577	9.538933544	13.41986759	10.01963413	10.35197717	9.332092378	10.37249928	10.40432544	12.52053027	10.91852759	7.986221511	6.502096726	9.601195907	9.136625002	10.99122234	10.44571825	7.60080283	7.794608775	10.34654033	9.069110997	7.721505813	10.27929083	8.692874415	7.782354731	12.85989223
ind7	10.89962435	9.700957568	9.507145798	7.939032085	12.31089604	7.716936956	9.383312603	10.49400587	9.112180678	13.30984181	11.92168243	6.169788695	5.243594214	11.68694167	8.235084419	12.53574274	11.39374339	11.90178894	10.68091478	10.12755766	8.134017056	9.445641362	7.572825693	6.759337497	12.1857036	6.525883589	9.935788782	12.67120234	13.77884744	12.00570913	11.64773648	11.21458995	13.29381087	9.242047977	9.03601564	9.766025124	10.60802657	10.28480349	9.102759388	11.23527126	7.182658423	11.388233	10.6261465	12.31579809	13.15982095	11.14750333	8.287034069	8.89007023	8.458450439	9.973075575	11.87869816	8.289800204	10.87492475	10.82456537	10.28814669	12.14614497	11.07965668	10.94479206	9.931197598	9.185357	11.56716106	12.97615952	10.14009054	10.60260615	8.904465491	6.396800556	8.226353954	8.620911325	10.28499232	6.8569989	10.7828828	8.12974145	9.914648144	12.49444011	8.911919219	8.454319679	8.778037999	9.763069922	9.605243926	8.962516084	9.121790995	11.21544564	9.019221656	12.69067146	8.334030302	8.242058008	11.24148247	8.682627812	10.57589276	12.46042838	12.06203088	4.954148915	7.87312529	10.57967574	11.32282543	9.334733408	11.83508552	7.495043277	10.49014076	8.611246263
ind8	11.6855856	9.811845519	9.512675158	11.45922934	10.53404491	10.10746652	8.63687663	12.15340862	11.89497027	9.693817816	11.65868942	9.857214243	7.829065769	13.02967554	8.129353039	7.049558206	9.890734883	14.72565127	10.14676363	11.06743058	8.678082348	8.427328437	12.89280559	10.36474968	8.391148639	12.93288148	5.996291416	11.21020723	10.3234235	7.736912029	8.338119565	10.49848238	9.767458257	9.91256402	11.2355611	9.65392934	12.34541971	12.95111903	10.88372742	9.76749786	11.38990774	10.24799548	11.3475036	10.45865852	13.3116696	10.88696563	14.12283151	15.1421038	12.81341959	7.655175387	8.475722287	10.80322621	7.48534135	11.94420844	10.9701892	10.16522789	9.684958364	9.984091793	9.591287341	8.024258582	10.52855986	9.995533688	10.41418441	13.1809795	7.543765896	9.804317275	13.1542144	6.990477231	10.03721158	8.758919514	8.467003992	15.09072286	7.673116411	8.15050036	5.035531772	10.81823811	10.66159094	12.90665694	9.288095487	7.833272659	9.408494227	10.83904579	10.72552633	10.57088526	12.50283003	14.11857419	9.516813702	8.467615814	8.948984318	8.590370986	11.72968438	6.899332102	10.66315321	11.27439333	14.40781961	12.44765538	9.452972529	9.391826453	13.88247014	13.02906491
ind9	NA	NA	NA	6.803565066	NA	12.78322227	7.104982501	NA	9.636229129	7.351786272	NA	NA	9.522062056	8.062047807	7.927688533	NA	7.161592294	NA	8.018273074	6.435471824	12.37403792	NA	8.749950077	9.0794867	8.268620893	9.098173634	NA	NA	10.1822842	6.56912035	8.198253577	9.231710327	7.654511907	11.03575589	10.10993684	NA	NA	7.699556115	5.908934726	9.427702777	10.43694877	NA	NA	10.41347639	12.87058395	NA	9.420136502	NA	8.916730172	8.189959511	7.202477136	NA	8.771513687	8.201092358	9.678118187	12.3422326	8.793962043	NA	9.779365325	5.862932486	7.779988256	12.58196086	9.772687967	11.39994576	NA	NA	11.14521904	8.697048722	9.43680527	6.468189493	10.44320021	9.880033572	7.521528747	7.280930347	12.66772677	11.07327813	NA	10.81007689	7.071881524	11.83044866	NA	9.452707541	NA	11.27960035	8.081044586	7.469401085	11.10023601	7.746740712	12.08590443	NA	8.757521787	11.89505987	7.543400639	NA	9.898473783	NA	NA	10.87771408	8.041389257	8.879915838
ind10	9.536180603	9.041282815	9.859400992	9.258854108	11.55522734	10.77750379	11.22825033	8.600050886	8.800678271	10.27171356	10.32082848	12.5505777	11.45146886	11.62293825	14.76345792	12.47459781	10.88471983	11.57366106	12.82079269	10.07158358	11.90830985	10.2197254	13.05784144	11.14636035	9.451966429	8.983629949	8.522516116	14.31119412	11.35076123	8.083396738	10.87317259	7.512497353	11.95403768	10.0439277	8.65886006	10.8240009	11.02827841	10.92308434	11.28508261	9.802810614	9.273954286	12.30629403	8.96291427	12.04119069	10.56364587	12.70899473	11.62909149	8.484599365	9.662166172	8.688929862	9.981213397	10.21043864	9.913970855	8.836272525	10.94686027	10.50786167	10.54176939	10.32665109	11.09215613	8.833509475	10.73997323	10.12328362	11.27792072	8.494762647	9.989896867	10.86510463	11.49964537	8.413457402	11.56359266	11.01765774	11.28107805	15.06062187	13.37547685	11.837862	10.87509381	9.369902258	11.36019152	8.302363242	9.18500107	10.48526421	12.766032	9.589048539	12.41219034	12.08888796	7.551118412	10.87266898	9.585218204	9.247143623	12.61042006	12.00049138	10.77963779	12.78719252	10.61872225	11.25249107	9.412619303	6.767871982	7.099877638	7.447797789	11.51631583	9.969554234
