SAMPLE_NAME	RUN_DAY	BOX_ID
ind_1	day7	box1
ind_2	day1	box3
ind_3	day5	box3
ind_4	day5	box1
ind_5	day8	box5
ind_6	day4	box5
ind_7	day5	box5
ind_8	day3	box1
ind_9	day3	box1
ind_10	day6	box2
ind_11	day6	box5
ind_12	day9	box5
ind_13	day9	box2
ind_14	day1	box1
ind_15	day7	box1
ind_16	day4	box3
ind_17	day10	box1
ind_18	day9	box1
ind_19	day10	box4
ind_20	day9	box3
ind_21	day6	box1
ind_22	day3	box5
ind_23	day9	box4
ind_24	day8	box3
ind_25	day6	box2
ind_26	day8	box5
ind_27	day8	box2
ind_28	day5	box4
ind_29	day3	box4
ind_30	day10	box4
ind_31	day7	box3
ind_32	day2	box4
ind_33	day7	box5
ind_34	day3	box3
ind_35	day8	box5
ind_36	day5	box1
ind_37	day1	box1
ind_38	day4	box3
ind_39	day2	box5
ind_40	day1	box1
ind_41	day6	box1
ind_42	day3	box5
ind_43	day8	box3
ind_44	day4	box1
ind_45	day8	box1
ind_46	day3	box3
ind_47	day3	box1
ind_48	day3	box3
ind_49	day10	box4
ind_50	day3	box4
ind_51	day1	box3
ind_52	day9	box5
ind_53	day1	box3
ind_54	day4	box5
ind_55	day4	box1
ind_56	day4	box4
ind_57	day3	box2
ind_58	day7	box4
ind_59	day2	box4
ind_60	day1	box2
ind_61	day3	box4
ind_62	day7	box1
ind_63	day2	box3
ind_64	day6	box4
ind_65	day8	box3
ind_66	day5	box1
ind_67	day4	box2
ind_68	day7	box1
ind_69	day3	box4
ind_70	day7	box2
ind_71	day7	box4
ind_72	day7	box1
ind_73	day6	box4
ind_74	day4	box1
ind_75	day3	box5
ind_76	day6	box3
ind_77	day2	box4
ind_78	day10	box4
ind_79	day5	box4
ind_80	day1	box2
ind_81	day3	box3
ind_82	day10	box3
ind_83	day3	box1
ind_84	day9	box5
ind_85	day2	box1
ind_86	day10	box2
ind_87	day3	box5
ind_88	day3	box2
ind_89	day7	box1
ind_90	day4	box2
ind_91	day5	box3
ind_92	day10	box5
ind_93	day10	box4
ind_94	day2	box1
ind_95	day7	box5
ind_96	day9	box2
ind_97	day8	box5
ind_98	day7	box3
ind_99	day1	box4
ind_100	day6	box5
ind_101	day3	box2
ind_102	day4	box4
ind_103	day9	box5
ind_104	day7	box3
ind_105	day6	box5
ind_106	day8	box3
