"","metab_id_1","metab_id_2","metab_id_3","metab_id_4","metab_id_5","metab_id_6","metab_id_7","metab_id_8","metab_id_9","metab_id_10","metab_id_11","metab_id_12","metab_id_13","metab_id_14","metab_id_15","metab_id_16","metab_id_17","metab_id_18","metab_id_19","metab_id_20"
"id_100",0.755887259729207,0.423463650979102,0.283002346055582,0.807499109301716,0.527394940610975,0.269408447435126,0.800476373871788,0.916305739665404,0.566182404989377,0.613559618359432,0.395931590348482,0.358660299796611,0.745281946845353,0.601125390036032,0.369646193925291,0.54234981467016,0.400285166455433,0.426548582501709,0.0305468428414315,0.470820417162031
"id_99",0.662385506555438,0.949585322989151,0.420434901025146,0.128064419608563,0.860989357577637,0.282850414514542,0.640148486476392,0.216662138933316,0.87273104628548,0.685671334387735,0.461487844819203,0.025102965766564,0.206487420713529,0.272751235868782,0.235524395015091,0.78439817391336,0.665795303415507,0.820779866538942,0.9030366090592,0.379407775355503
"id_98",0.444527396932244,0.709037903463468,0.587278124177828,0.250778533983976,0.67355498787947,0.643221559468657,0.628927760757506,0.547998871887103,0.55456317961216,0.823525600135326,0.725299363257363,0.74609359796159,0.656495965085924,0.457853371044621,0.93575692595914,0.647870272397995,0.767599277198315,0.0503789142239839,0.959397464292124,0.247564962366596
"id_97",0.627146184444427,0.41330540808849,0.806694429600611,0.331546991597861,0.0130410296842456,0.948118837783113,0.271409004693851,0.720050457865,0.737652207259089,0.373982113786042,0.470002647023648,0.029625577153638,0.522414671257138,0.222253093263134,0.415076828328893,0.144893147051334,0.521895700134337,0.325382151640952,0.942848661448807,0.925032525788993
"id_96",0.000465349061414599,0.0183640837203711,0.201995208859444,0.407269289949909,0.693198901368305,0.00699845445342362,0.0299398254137486,0.397246005246416,0.62312916200608,0.952841004589573,0.999523977516219,0.433864830993116,0.633436584845185,0.254921516869217,0.137449405388907,0.321637377142906,0.394507517106831,0.842411929508671,0.453300039982423,0.466174706583843
"id_95",0.217243514023721,0.566734082764015,0.459424671716988,0.6353675769642,0.89171373215504,0.351617672014982,0.41986421495676,0.0940013926010579,0.311028405791149,0.0188321589957923,0.845935791730881,0.256626832997426,0.617563133826479,0.653687727171928,0.914364723023027,0.951055582612753,0.965786833548918,0.0401997929438949,0.437665002420545,0.0139416833408177
"id_94",0.704872245667502,0.490063453093171,0.448143113870174,0.808612044900656,0.63185017532669,0.419045724906027,0.35543467104435,0.634896405041218,0.392196484608576,0.61237497231923,0.828207303769886,0.498015220975503,0.284895547432825,0.471993161132559,0.347641376079991,0.188198490999639,0.0489855406340212,0.791872961213812,0.0501661477610469,0.94322473811917
"id_93",0.215166488196701,0.87867402122356,0.733747758204117,0.258801201358438,0.107294654939324,0.457876797067001,0.392331253970042,0.00247881026007235,0.202087455429137,0.463573763845488,0.761644344311208,0.65335523057729,0.223807222442701,0.160963035654277,0.852930875727907,0.750404248479754,0.153308271663263,0.961628437507898,0.359821268357337,0.374545655446127
"id_92",0.813933721277863,0.812852687900886,0.714754810556769,0.819467139896005,0.921065203845501,0.711692579323426,0.171936832368374,0.210523239802569,0.852780389599502,0.354729620506987,0.112106491811574,0.0836568856611848,0.539019355317578,0.272080334601924,0.142635178752244,0.459158475277945,0.696839065523818,0.660920487483963,0.896644064690918,0.00804153550416231
"id_91",0.307763874297962,0.854099977528676,0.831221978878602,0.0154776689596474,0.675362381152809,0.919848057674244,0.319642119342461,0.679022809490561,0.606830150820315,0.882423028815538,0.838977019302547,0.180472461739555,0.996371977264062,0.712956093018875,0.359432870987803,0.141365048941225,0.727785873226821,0.00871741911396384,0.371063167229295,0.980524503393099
"id_90",0.687742685666308,0.367895947769284,0.886566120898351,0.654400766594335,0.148593712598085,0.627110700588673,0.413555064238608,0.866189130349085,0.75609801383689,0.075802858453244,0.813850524136797,0.104462501592934,0.328916536876932,0.613353652181104,0.245505067519844,0.205193076049909,0.108379415469244,0.465789224253967,0.503285011276603,0.377540055895224
"id_89",0.932681079022586,0.873949912842363,0.952644573990256,0.811719584278762,0.745341842295602,0.902181778335944,0.759335696697235,0.79969711555168,0.562516808742657,0.88329119165428,0.991412194212899,0.812392983818427,0.323336088331416,0.132121966220438,0.0459059465210885,0.675293499603868,0.464568545576185,0.716613848693669,0.527599306078628,0.985867554787546
"id_88",0.115779664833099,0.151338171446696,0.550616721855476,0.461368926800787,0.942598861875013,0.757329159183428,0.271890205098316,0.134996398352087,0.275899012805894,0.188221835764125,0.0483145248144865,0.627502441639081,0.0353235178627074,0.0700072532054037,0.784547902178019,0.138030210509896,0.642125536222011,0.0281821098178625,0.170270065078512,0.139616390690207
"id_87",0.127705687889829,0.28181166970171,0.522335766116157,0.203417101642117,0.420783375622705,0.137858365662396,0.115582457045093,0.387498257681727,0.735558403655887,0.215066746808589,0.746787912445143,0.630572485970333,0.525611852528527,0.966265012975782,0.199171734508127,0.415543700801209,0.397110937861726,0.845482558710501,0.53859877679497,0.562218103092164
"id_86",0.678223857423291,0.666705157840624,0.170698255300522,0.0187682171817869,0.297723078168929,0.153254878008738,0.0293366149999201,0.788471929030493,0.549279793864116,0.869532291544601,0.419313521590084,0.390889850212261,0.596806915011257,0.36827027797699,0.391850244253874,0.451247031800449,0.99043025705032,0.746415409026667,0.11049344507046,0.794360194355249
"id_85",0.42894859588705,0.977383576799184,0.479271559976041,0.283132697222754,0.259426670148969,0.191312186885625,0.806855297880247,0.692913666600361,0.346127043943852,0.0608380562625825,0.58214389719069,0.43225357378833,0.742086659185588,0.677454084623605,0.323562244651839,0.622946569696069,0.678708809893578,0.26403076434508,0.614105034386739,0.193901368649676
"id_84",0.834400977939367,0.582739736652002,0.253820796497166,0.915272625628859,0.222881316905841,0.433185140602291,0.480126436566934,0.59427297138609,0.514965634793043,0.234899600734934,0.83073406224139,0.348634002264589,0.95283712958917,0.845951730385423,0.602105905069038,0.251174297416583,0.315318457549438,0.745913676219061,0.544976426986977,0.71069850306958
"id_83",0.971438066801056,0.526590079534799,0.0397806370165199,0.933696520514786,0.565654343459755,0.0872193018440157,0.806247940286994,0.123857651371509,0.815767947584391,0.993015512824059,0.0135306273587048,0.793557758675888,0.489621237851679,0.241650385316461,0.541271679569036,0.464153463719413,0.153769260039553,0.671582471346483,0.22762869251892,0.565708020003513
