SampleID	Index	OlinkID	UniProt	Assay	MissingFreq	Panel	Panel_Version	PlateID	QC_Warning	LOD	NPX	Normalization
Sample_00001	1	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	8.32	Intensity Normalized (v.2)
Sample_00002	2	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	6.12	Intensity Normalized (v.2)
Sample_00003	3	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	9.74	Intensity Normalized (v.2)
Sample_00004	4	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	5.11	Intensity Normalized (v.2)
Sample_00005	5	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7.96	Intensity Normalized (v.2)
Sample_00006	6	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	5.89	Intensity Normalized (v.2)
Sample_00007	7	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	6.06	Intensity Normalized (v.2)
Sample_00008	8	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	5.62	Intensity Normalized (v.2)
Sample_00009	9	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	6.51	Intensity Normalized (v.2)
Sample_00010	10	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	8.46	Intensity Normalized (v.2)
Sample_00011	11	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	6.53	Intensity Normalized (v.2)
Sample_00012	12	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	8.69	Intensity Normalized (v.2)
Sample_00013	13	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	6.91	Intensity Normalized (v.2)
Sample_00014	14	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	8.78	Intensity Normalized (v.2)
Sample_00015	15	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	6.59	Intensity Normalized (v.2)
Sample_00016	16	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	7.7	Intensity Normalized (v.2)
Sample_00017	17	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	8.96	Intensity Normalized (v.2)
Sample_00018	18	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	9.42	Intensity Normalized (v.2)
Sample_00019	19	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	6.17	Intensity Normalized (v.2)
Sample_00020	20	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	7.24	Intensity Normalized (v.2)
Sample_00021	21	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	9.53	Intensity Normalized (v.2)
Sample_00022	22	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7.2	Intensity Normalized (v.2)
Sample_00023	23	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	9.57	Intensity Normalized (v.2)
Sample_00024	24	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	8.46	Intensity Normalized (v.2)
Sample_00025	25	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	7.53	Intensity Normalized (v.2)
Sample_00026	26	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	8.61	Intensity Normalized (v.2)
Sample_00027	27	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	5.84	Intensity Normalized (v.2)
Sample_00028	28	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	7.89	Intensity Normalized (v.2)
Sample_00029	29	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	8.78	Intensity Normalized (v.2)
Sample_00030	30	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	5.52	Intensity Normalized (v.2)
Sample_00031	31	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	5.01	Intensity Normalized (v.2)
Sample_00032	32	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	8.98	Intensity Normalized (v.2)
Sample_00033	33	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Warning	2.14	5.54	Intensity Normalized (v.2)
Sample_00034	34	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	9.24	Intensity Normalized (v.2)
Sample_00035	35	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	6.25	Intensity Normalized (v.2)
Sample_00036	36	OID00001	P60800	Protein_1	1.47E-3	Olink Immuno-Oncology	v.3112	20211440-001_SP211650_IMO	Pass	2.14	5.04	Intensity Normalized (v.2)
